               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10983,            0.028652,            0.031946,           0.0029459,             0.87955,            0.022291,           0.0069658,            0.081952,            0.014437,            0.026227,              0.0856,              0.0016,              0.0016
                   1,            0.076643,            0.025093,            0.026472,             0.45555,             0.41817,              0.4185,             0.14253,            0.065656,           0.0093684,            0.019733,            0.070289,           0.0032891,           0.0032891
                   2,             0.06097,            0.020395,            0.022524,             0.45245,             0.53902,             0.43165,              0.1488,             0.05862,           0.0067797,            0.014825,            0.054967,            0.004967,            0.004967
                   3,            0.055135,            0.018267,            0.018479,              0.5763,             0.66066,             0.58468,             0.24024,              0.0569,           0.0055461,           0.0078751,            0.039634,           0.0066337,           0.0066337
                   4,            0.053741,            0.016307,            0.012927,             0.49592,             0.60064,             0.52421,             0.17955,            0.059485,           0.0063159,           0.0050453,            0.024289,           0.0082891,           0.0082891
                   5,            0.052513,             0.01574,            0.011072,             0.48074,             0.48259,             0.48036,             0.13635,            0.061055,           0.0059035,           0.0086746,            0.009835,            0.009835,            0.009835
                   6,            0.049713,            0.016246,            0.011507,             0.34817,             0.44795,             0.30533,            0.079991,            0.069277,           0.0099125,            0.017654,            0.009835,            0.009835,            0.009835
                   7,            0.049401,            0.015966,            0.009419,              0.4567,             0.59244,             0.49078,             0.19954,            0.049382,            0.009522,           0.0036675,            0.009802,            0.009802,            0.009802
                   8,            0.048596,            0.016575,            0.009903,              0.5602,             0.53362,             0.57757,             0.19066,             0.05353,           0.0075827,           0.0046612,            0.009769,            0.009769,            0.009769
                   9,            0.046392,            0.016371,           0.0095851,             0.45933,             0.44918,             0.44769,             0.15329,            0.060024,           0.0070653,            0.010266,            0.009736,            0.009736,            0.009736
                  10,             0.04528,            0.015896,           0.0090233,             0.33927,             0.37075,             0.20187,            0.073169,            0.049875,             0.01017,            0.013692,            0.009703,            0.009703,            0.009703
                  11,            0.045179,            0.016304,           0.0082863,             0.31488,             0.27311,             0.22704,            0.071598,             0.05777,           0.0097234,            0.017001,             0.00967,             0.00967,             0.00967
                  12,            0.043075,            0.016031,           0.0084565,             0.38991,             0.31473,             0.26449,             0.10089,            0.048196,           0.0083926,            0.017986,            0.009637,            0.009637,            0.009637
                  13,            0.044135,            0.015364,           0.0083448,             0.74079,             0.73049,             0.74109,              0.3324,            0.044565,           0.0061388,           0.0031521,            0.009604,            0.009604,            0.009604
                  14,            0.042872,            0.015314,           0.0075976,             0.67414,             0.75528,             0.75538,             0.33449,            0.041443,           0.0056388,           0.0039318,            0.009571,            0.009571,            0.009571
                  15,            0.042555,             0.01564,           0.0075547,             0.71536,             0.69895,             0.76026,             0.34135,            0.040252,           0.0058982,           0.0026817,            0.009538,            0.009538,            0.009538
                  16,            0.042757,            0.015158,           0.0076924,             0.71416,              0.7598,             0.75577,             0.34653,            0.036213,           0.0064409,           0.0047506,            0.009505,            0.009505,            0.009505
                  17,            0.040343,            0.015039,            0.007757,             0.32329,             0.42637,             0.32006,             0.11085,            0.055987,           0.0072758,            0.021759,            0.009472,            0.009472,            0.009472
                  18,            0.039841,            0.014848,           0.0066828,             0.55095,             0.70282,             0.67858,             0.28173,            0.041543,           0.0064697,           0.0052807,            0.009439,            0.009439,            0.009439
                  19,            0.040341,            0.015032,           0.0061799,             0.52662,             0.51281,              0.4997,              0.2043,            0.041471,           0.0067632,            0.017169,            0.009406,            0.009406,            0.009406
                  20,            0.040577,            0.014997,           0.0075807,             0.69515,             0.62053,             0.67659,             0.27216,            0.048706,           0.0056303,           0.0049103,            0.009373,            0.009373,            0.009373
                  21,            0.039938,            0.015011,           0.0066202,             0.78812,             0.75037,             0.79448,             0.34044,            0.036231,           0.0054538,           0.0030684,             0.00934,             0.00934,             0.00934
                  22,            0.038745,            0.014947,           0.0056674,             0.82174,             0.74073,             0.84719,             0.43522,            0.034874,           0.0054905,           0.0069565,            0.009307,            0.009307,            0.009307
                  23,            0.037914,            0.014625,           0.0047797,             0.82329,             0.68227,             0.83001,             0.43861,            0.035526,           0.0057456,           0.0023323,            0.009274,            0.009274,            0.009274
                  24,            0.038336,            0.014071,           0.0057845,             0.78121,             0.64376,             0.74382,             0.37135,            0.034227,           0.0064404,           0.0019604,            0.009241,            0.009241,            0.009241
                  25,            0.038172,            0.014126,           0.0056968,             0.74033,             0.78473,              0.8219,             0.43003,            0.035253,           0.0056839,           0.0024138,            0.009208,            0.009208,            0.009208
                  26,            0.036289,            0.013849,           0.0046397,             0.84604,             0.82732,             0.87554,             0.44055,            0.036937,           0.0045168,           0.0010605,            0.009175,            0.009175,            0.009175
                  27,            0.036771,            0.013827,           0.0051945,             0.83952,             0.90358,             0.93119,             0.54582,            0.034388,           0.0046978,           0.0012177,            0.009142,            0.009142,            0.009142
                  28,            0.036704,            0.013815,           0.0057835,             0.76452,             0.70767,             0.79118,             0.44904,            0.030884,           0.0055246,           0.0022244,            0.009109,            0.009109,            0.009109
                  29,            0.035789,            0.013791,           0.0062578,             0.82338,             0.83252,             0.88207,             0.50758,            0.035771,           0.0048294,           0.0024559,            0.009076,            0.009076,            0.009076
