               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12045,            0.028164,            0.031486,          0.00088933,              0.2967,           0.0015307,          0.00052897,             0.11806,            0.017019,            0.034552,              0.0964,              0.0004,              0.0004
                   1,              0.1123,             0.02693,            0.031539,           0.0019506,             0.66484,           0.0070013,            0.001246,             0.10115,            0.014459,            0.033014,            0.091897,          0.00089703,          0.00089703
                   2,            0.098908,             0.02528,            0.030156,           0.0022509,             0.77473,            0.015201,           0.0065599,            0.080369,            0.013193,            0.030383,            0.087391,           0.0013908,           0.0013908
                   3,             0.08386,            0.023406,            0.029024,           0.0029765,                   1,            0.053099,            0.018186,            0.070676,            0.011931,            0.025372,            0.082881,           0.0018812,           0.0018812
                   4,            0.074903,            0.024067,            0.027494,           0.0029927,                   1,             0.10729,            0.045619,            0.062303,            0.010843,            0.023492,            0.078368,           0.0023683,           0.0023683
                   5,            0.067877,            0.024728,            0.026275,           0.0041441,                   1,             0.29455,             0.12136,            0.058435,           0.0097606,            0.019833,            0.073852,           0.0028522,           0.0028522
                   6,            0.061161,            0.022793,            0.025552,             0.18503,             0.40659,             0.20294,            0.089539,            0.046724,           0.0093143,            0.021283,            0.069333,           0.0033327,           0.0033327
                   7,            0.056105,            0.020452,            0.024918,             0.27827,             0.51648,             0.33239,             0.12908,            0.044438,            0.009155,            0.017789,             0.06481,           0.0038099,           0.0038099
                   8,             0.05493,            0.021746,            0.025431,              0.2944,             0.44505,             0.40728,             0.23558,            0.043541,           0.0090268,            0.018637,            0.060284,           0.0042838,           0.0042838
                   9,            0.053811,            0.020216,            0.024631,             0.27851,             0.37363,             0.28449,             0.12053,            0.044902,           0.0085986,             0.01817,            0.055754,           0.0047545,           0.0047545
                  10,            0.050816,            0.018276,            0.025017,             0.36882,             0.37363,             0.33253,             0.12683,            0.045421,           0.0077915,             0.02157,            0.051222,           0.0052218,           0.0052218
                  11,            0.048229,            0.017886,            0.023611,             0.30071,              0.5042,             0.34876,             0.13903,            0.041679,           0.0066357,            0.020212,            0.046686,           0.0056858,           0.0056858
                  12,            0.046645,            0.016682,            0.022848,             0.75194,             0.49259,             0.56735,             0.18484,            0.044124,           0.0059285,            0.012497,            0.042147,           0.0061466,           0.0061466
                  13,             0.04824,            0.017787,            0.021421,             0.34415,             0.52615,             0.45044,              0.1973,            0.044853,           0.0059803,             0.01402,            0.037604,            0.006604,            0.006604
                  14,            0.045037,            0.017134,             0.02005,             0.34538,             0.41209,             0.43551,             0.20491,            0.046419,           0.0058219,            0.010777,            0.033058,           0.0070581,           0.0070581
                  15,            0.047827,            0.016652,            0.016952,             0.63653,             0.45055,             0.52848,             0.24458,            0.049294,           0.0057383,           0.0075226,            0.028509,           0.0075089,           0.0075089
                  16,            0.046347,            0.015115,             0.01455,             0.52419,             0.48352,             0.49901,             0.25162,            0.049254,           0.0055084,           0.0072113,            0.023956,           0.0079565,           0.0079565
                  17,            0.046288,            0.015053,            0.013256,             0.86725,             0.55811,             0.69179,             0.34415,            0.039585,           0.0064321,           0.0065932,            0.019401,           0.0084007,           0.0084007
                  18,            0.046146,            0.014861,            0.013528,             0.66986,             0.34318,             0.35087,             0.16742,            0.051618,           0.0061924,            0.011159,            0.014842,           0.0088416,           0.0088416
                  19,             0.04492,            0.015169,            0.012982,             0.27294,             0.30771,             0.29259,             0.09294,            0.043586,           0.0098059,            0.010304,            0.010279,           0.0092793,           0.0092793
                  20,             0.04427,            0.015257,            0.012404,             0.60182,             0.29121,             0.39057,             0.17452,            0.043316,           0.0076418,           0.0062386,             0.00934,             0.00934,             0.00934
                  21,            0.044404,            0.014346,            0.011902,             0.36293,             0.33516,             0.33662,             0.15085,            0.049149,           0.0075324,           0.0090294,             0.00934,             0.00934,             0.00934
                  22,            0.043218,            0.013682,            0.010245,             0.49419,             0.40659,              0.4561,             0.16051,            0.047093,           0.0071819,           0.0040541,            0.009307,            0.009307,            0.009307
                  23,            0.042352,            0.014013,            0.011821,             0.74314,             0.36813,             0.46317,             0.18422,            0.047051,           0.0059357,           0.0062366,            0.009274,            0.009274,            0.009274
                  24,            0.042783,            0.014272,           0.0090707,             0.49596,             0.33516,              0.3488,             0.17256,            0.044474,           0.0070987,            0.011257,            0.009241,            0.009241,            0.009241
                  25,            0.041899,            0.013405,            0.014006,             0.66298,             0.32967,             0.40781,             0.20122,            0.049201,           0.0069976,            0.012171,            0.009208,            0.009208,            0.009208
                  26,            0.041809,            0.013037,           0.0097605,             0.64539,             0.35105,             0.40762,             0.19302,            0.039411,           0.0069427,             0.01059,            0.009175,            0.009175,            0.009175
                  27,            0.040814,            0.013608,            0.011311,             0.56433,             0.46333,             0.41361,              0.1836,            0.043286,            0.007221,           0.0093927,            0.009142,            0.009142,            0.009142
                  28,            0.041508,            0.014388,            0.009894,              0.6322,             0.44505,             0.53093,             0.22299,            0.039678,           0.0073895,           0.0098734,            0.009109,            0.009109,            0.009109
                  29,            0.039722,            0.013726,           0.0088273,             0.34386,             0.63736,               0.423,             0.21058,            0.041945,           0.0070357,           0.0040278,            0.009076,            0.009076,            0.009076
                  30,            0.038716,            0.014078,           0.0082466,             0.56245,             0.36229,             0.46588,             0.22128,            0.042277,           0.0099735,           0.0085516,            0.009043,            0.009043,            0.009043
                  31,             0.03973,            0.011877,           0.0067694,             0.56763,             0.57436,             0.53036,             0.20903,            0.046157,           0.0093155,           0.0070804,             0.00901,             0.00901,             0.00901
                  32,            0.038936,            0.012045,           0.0090469,             0.42729,             0.41405,              0.4209,              0.1812,            0.044257,           0.0089424,           0.0058707,            0.008977,            0.008977,            0.008977
                  33,            0.038396,            0.013022,           0.0081718,             0.51079,             0.37363,             0.36654,             0.21764,            0.035655,           0.0096464,           0.0068071,            0.008944,            0.008944,            0.008944
                  34,            0.037291,             0.01188,           0.0073348,             0.68802,             0.26374,             0.32628,              0.1821,            0.045792,           0.0081215,           0.0052702,            0.008911,            0.008911,            0.008911
                  35,            0.037035,            0.013186,           0.0090258,             0.70419,             0.18681,             0.32896,             0.17186,            0.049049,           0.0069642,           0.0094681,            0.008878,            0.008878,            0.008878
                  36,            0.037112,            0.011949,           0.0091679,             0.50686,              0.3022,             0.33915,             0.16815,            0.040659,           0.0073009,           0.0084045,            0.008845,            0.008845,            0.008845
                  37,            0.036306,            0.012949,           0.0091524,             0.45316,              0.3022,             0.31615,             0.14906,            0.048503,           0.0075979,           0.0078522,            0.008812,            0.008812,            0.008812
