               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12138,            0.028087,             0.03196,          0.00061368,             0.14835,           0.0010744,          0.00046463,             0.12005,             0.01746,            0.034399,              0.0973,              0.0003,              0.0003
                   1,             0.11395,            0.027227,            0.031202,           0.0016449,             0.55495,           0.0037132,           0.0012422,              0.1084,            0.015037,            0.032813,            0.093699,          0.00069861,          0.00069861
                   2,             0.10353,              0.0258,            0.030581,           0.0022715,             0.80769,            0.010902,           0.0027348,            0.094048,            0.013611,            0.031549,            0.090096,           0.0010956,           0.0010956
                   3,            0.091208,            0.024812,            0.029686,           0.0026989,             0.92308,            0.022162,           0.0080821,            0.079581,            0.012427,            0.029681,            0.086491,           0.0014911,           0.0014911
                   4,            0.080791,             0.02513,            0.028785,           0.0029836,                   1,            0.093814,            0.036833,            0.068691,            0.011619,            0.024677,            0.082885,            0.001885,            0.001885
                   5,            0.075506,            0.023817,            0.026903,           0.0029778,                   1,             0.15327,            0.062099,            0.059243,            0.010697,            0.021271,            0.079277,           0.0022772,           0.0022772
                   6,            0.066866,            0.024234,            0.026014,           0.0029673,                   1,              0.2494,             0.11144,            0.052953,            0.009917,            0.020599,            0.075668,           0.0026679,           0.0026679
                   7,            0.061027,             0.02165,            0.025783,             0.14951,             0.65934,              0.2133,            0.076093,            0.057174,           0.0084467,            0.022723,            0.072057,            0.003057,            0.003057
                   8,            0.056735,            0.022432,            0.025746,             0.21629,             0.51099,             0.29573,             0.11429,            0.051015,           0.0088947,            0.023151,            0.068445,           0.0034446,           0.0034446
                   9,            0.055964,            0.021464,            0.025058,             0.37453,             0.46505,             0.30744,            0.079789,            0.047319,           0.0085936,            0.021698,            0.064831,           0.0038305,           0.0038305
                  10,            0.053868,            0.019662,            0.025221,              0.4914,             0.50891,              0.4637,             0.18184,            0.046648,           0.0083218,            0.022168,            0.061215,           0.0042149,           0.0042149
                  11,            0.051946,            0.019126,            0.024502,             0.51544,             0.51499,             0.55768,             0.26223,            0.042377,           0.0077965,            0.023071,            0.057598,           0.0045976,           0.0045976
                  12,            0.047813,            0.018639,            0.024061,             0.62758,             0.51648,             0.57568,             0.26219,            0.054721,           0.0067995,            0.021295,            0.053979,           0.0049788,           0.0049788
                  13,            0.049417,            0.018322,            0.024095,             0.58045,             0.56044,             0.59809,               0.305,            0.045324,           0.0065622,             0.01904,            0.050358,           0.0053584,           0.0053584
                  14,            0.046171,            0.018238,            0.023476,             0.46416,             0.59341,             0.58446,              0.2648,            0.042495,           0.0063443,             0.01864,            0.046736,           0.0057365,           0.0057365
                  15,             0.04655,            0.019191,            0.022266,             0.51494,             0.62505,             0.52763,             0.27475,            0.047616,           0.0062044,            0.017496,            0.043113,           0.0061129,           0.0061129
                  16,            0.046847,            0.017259,            0.020372,             0.38948,             0.40659,             0.42522,             0.21162,            0.048276,           0.0056257,            0.020676,            0.039488,           0.0064877,           0.0064877
                  17,            0.048575,            0.016397,            0.018656,             0.73392,             0.34568,             0.49444,             0.26703,            0.041037,           0.0059369,            0.019836,            0.035861,            0.006861,            0.006861
                  18,            0.044977,            0.016732,            0.016343,              0.4935,             0.47802,             0.49236,             0.21209,            0.051051,           0.0059104,           0.0080185,            0.032233,           0.0072327,           0.0072327
                  19,            0.044967,            0.014936,             0.01342,             0.50469,             0.48352,             0.47342,             0.17267,            0.042359,           0.0054436,           0.0095123,            0.028603,           0.0076028,           0.0076028
                  20,            0.044991,            0.015457,            0.013321,             0.56235,              0.2967,              0.3746,             0.14503,            0.044055,           0.0059283,           0.0083046,            0.024971,           0.0079713,           0.0079713
                  21,            0.045896,            0.014409,            0.013566,             0.78624,             0.48352,             0.50503,             0.20575,            0.047524,           0.0062618,           0.0050198,            0.021338,           0.0083383,           0.0083383
                  22,            0.045564,            0.014761,            0.012044,             0.46294,             0.57707,             0.47534,             0.23375,            0.043611,           0.0060835,           0.0090088,            0.017704,           0.0087036,           0.0087036
