               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10926,            0.041664,            0.027958,          0.00016667,             0.14286,           0.0013677,          0.00085235,             0.11121,            0.015568,            0.027155,              0.0991,              0.0001,              0.0001
                   1,             0.10892,             0.04251,            0.027947,          0.00016667,             0.14286,           0.0026142,           0.0020195,             0.11066,            0.015346,            0.027136,            0.097299,          0.00029901,          0.00029901
                   2,              0.1079,             0.04204,            0.027867,          8.3333e-05,            0.071429,          5.1285e-05,          5.1285e-06,             0.10937,            0.015424,            0.027075,            0.095497,           0.0004967,           0.0004967
                   3,              0.1063,            0.040493,            0.027957,          8.3333e-05,            0.071429,          5.1255e-05,          1.0251e-05,             0.10785,            0.014501,            0.027002,            0.093693,          0.00069307,          0.00069307
                   4,             0.10383,            0.044521,            0.027858,           0.0011952,             0.18681,          0.00085557,          0.00018159,             0.10604,            0.014306,            0.026929,            0.091888,          0.00088812,          0.00088812
                   5,             0.10176,            0.042279,            0.027731,          0.00082298,             0.14835,          0.00058976,          0.00012344,             0.10411,            0.014379,            0.026819,            0.090082,           0.0010819,           0.0010819
                   6,            0.098924,            0.045083,            0.027838,          0.00010823,            0.071429,          0.00012058,          4.8166e-05,              0.1021,            0.014439,            0.026727,            0.088274,           0.0012743,           0.0012743
                   7,            0.096308,            0.044994,            0.027363,          0.00011848,            0.071429,          9.1094e-05,          9.1094e-06,             0.09992,            0.014497,            0.026617,            0.086465,           0.0014653,           0.0014653
                   8,            0.094373,            0.042836,            0.027723,          0.00023697,             0.14286,           0.0003771,           3.771e-05,            0.098209,            0.014516,            0.026508,            0.084655,           0.0016551,           0.0016551
                   9,            0.093466,            0.044966,            0.027488,          0.00022624,             0.14286,          0.00044121,          0.00012245,            0.096496,            0.014539,            0.026422,            0.082844,           0.0018436,           0.0018436
                  10,            0.091885,            0.043483,              0.0272,          0.00022624,             0.14286,          0.00047744,           0.0001354,            0.094747,              0.0141,            0.026324,            0.081031,           0.0020307,           0.0020307
                  11,            0.089737,            0.044054,            0.027276,          0.00025381,             0.14286,          0.00045044,          0.00019557,            0.093126,            0.013558,            0.026239,            0.079217,           0.0022165,           0.0022165
                  12,            0.088997,             0.04243,            0.027264,          0.00022624,             0.14286,          0.00044121,          0.00016226,            0.091603,            0.013587,            0.026141,            0.077401,            0.002401,            0.002401
                  13,            0.088634,            0.042954,            0.027254,          0.00025202,             0.14286,          0.00033273,          0.00010019,            0.090111,            0.013109,            0.026068,            0.075584,           0.0025842,           0.0025842
                  14,            0.086392,            0.046914,            0.027023,          0.00022624,             0.14286,          0.00047744,          0.00018041,            0.088781,            0.013138,            0.025983,            0.073766,            0.002766,            0.002766
                  15,            0.086525,            0.043855,            0.027092,          0.00022624,             0.14286,          0.00047744,          0.00018041,            0.087627,            0.013179,            0.025903,            0.071947,           0.0029465,           0.0029465
                  16,            0.087509,            0.044844,            0.027312,          0.00022624,             0.14286,           0.0002505,          0.00012377,            0.086639,            0.013216,            0.025861,            0.070126,           0.0031258,           0.0031258
                  17,            0.086498,            0.042438,            0.026849,          0.00022624,             0.14286,          0.00024428,          0.00016293,            0.085894,            0.013258,            0.025781,            0.068304,           0.0033037,           0.0033037
                  18,            0.087438,            0.044854,            0.026969,          0.00022624,             0.14286,          0.00047744,          0.00021121,            0.085453,            0.013304,            0.025714,             0.06648,           0.0034802,           0.0034802
                  19,            0.084889,            0.044019,            0.026745,           0.0002337,             0.14286,          0.00023595,           7.919e-05,            0.084744,            0.013357,            0.025629,            0.064655,           0.0036555,           0.0036555
                  20,            0.085454,            0.045461,            0.026624,          0.00022624,             0.14286,          0.00028688,          0.00015959,            0.084185,            0.013394,            0.025549,            0.062829,           0.0038294,           0.0038294
                  21,            0.085516,            0.045935,            0.026717,          0.00022624,             0.14286,          0.00024695,          0.00013461,            0.083772,            0.013405,            0.025476,            0.061002,            0.004002,            0.004002
                  22,            0.084389,             0.04452,            0.026572,          0.00022624,             0.14286,          0.00047744,          0.00022543,            0.083361,            0.013419,            0.025385,            0.059173,           0.0041733,           0.0041733
                  23,            0.085468,            0.043144,            0.026675,          0.00022624,             0.14286,          0.00024695,          0.00013461,            0.083161,            0.013419,            0.025299,            0.057343,           0.0043433,           0.0043433
                  24,            0.083491,            0.043718,            0.026337,          0.00022717,             0.14286,          0.00039775,           0.0001957,            0.082991,            0.013427,             0.02522,            0.055512,           0.0045119,           0.0045119
                  25,            0.083969,             0.04683,            0.026542,          0.00022624,             0.14286,          0.00047744,          0.00022543,            0.082977,            0.012904,             0.02514,            0.053679,           0.0046793,           0.0046793
                  26,            0.084172,            0.045176,            0.026476,          0.00022624,             0.14286,          0.00024428,          0.00017471,            0.082913,            0.012904,            0.025055,            0.051845,           0.0048453,           0.0048453
                  27,            0.082978,            0.044967,            0.026386,          0.00022624,             0.14286,          0.00047445,          0.00023408,            0.082756,            0.012912,            0.024982,             0.05001,             0.00501,             0.00501
                  28,            0.083694,              0.0483,            0.026162,          0.00022727,             0.14286,          0.00038128,          0.00018718,            0.083056,            0.012856,             0.02489,            0.048173,           0.0051733,           0.0051733
                  29,            0.085149,            0.047289,            0.026298,           0.0005115,             0.18132,          0.00058276,          0.00023463,            0.083119,             0.01286,            0.024817,            0.046335,           0.0053354,           0.0053354
                  30,            0.084238,            0.043805,            0.026022,          0.00024414,             0.14286,          0.00023174,          0.00010911,            0.082969,            0.012663,             0.02475,            0.044496,           0.0054961,           0.0054961
                  31,            0.083899,            0.043771,            0.026202,          0.00023946,             0.14286,          0.00024836,          7.4695e-05,            0.082739,            0.011633,            0.024683,            0.042656,           0.0056555,           0.0056555
                  32,            0.083256,            0.044998,            0.026098,          0.00050325,             0.18132,          0.00038993,          0.00013399,            0.082476,            0.011671,            0.024603,            0.040814,           0.0058136,           0.0058136
                  33,            0.083176,             0.04544,            0.025985,          0.00025967,             0.14286,          0.00023944,           7.845e-05,            0.082251,            0.011689,            0.024548,             0.03897,           0.0059704,           0.0059704
                  34,            0.084701,            0.043747,            0.026038,          0.00025813,             0.14286,          0.00025177,          8.6352e-05,            0.082318,            0.011689,              0.0245,            0.037126,           0.0061258,           0.0061258
                  35,            0.082492,            0.043504,            0.025918,            0.000258,             0.14286,          0.00027067,          0.00013838,            0.082395,            0.011698,            0.024451,             0.03528,             0.00628,             0.00628
                  36,            0.082793,            0.043416,            0.025863,          0.00069154,             0.21978,          0.00056187,          0.00018813,            0.082596,            0.011691,            0.024402,            0.033433,           0.0064328,           0.0064328
                  37,            0.082978,            0.044219,            0.025915,          0.00069454,             0.21978,          0.00055619,          0.00020533,            0.082669,            0.011694,             0.02439,            0.031584,           0.0065842,           0.0065842
                  38,             0.08467,             0.04274,            0.025935,          0.00048793,             0.18132,          0.00039929,          0.00010632,            0.082691,            0.011703,            0.024414,            0.029734,           0.0067344,           0.0067344
                  39,            0.082787,            0.042285,            0.025695,           0.0007085,             0.21978,          0.00055745,          0.00012279,            0.082715,            0.011655,            0.024438,            0.027883,           0.0068833,           0.0068833
                  40,            0.083298,            0.044838,            0.025331,          0.00071607,             0.21978,          0.00057723,          0.00019209,            0.082809,            0.011503,            0.024432,            0.026031,           0.0070308,           0.0070308
                  41,            0.081799,             0.04568,            0.025449,          0.00071447,             0.21978,           0.0006634,           0.0002222,            0.082752,            0.011505,            0.024451,            0.024177,            0.007177,            0.007177
                  42,             0.08231,            0.045722,            0.025394,          0.00069773,             0.21978,           0.0013737,          0.00049833,            0.082802,            0.011572,            0.024457,            0.022322,           0.0073219,           0.0073219
                  43,            0.081267,            0.045027,            0.025408,          0.00068072,             0.21978,           0.0018437,          0.00056002,            0.082526,            0.011209,            0.024469,            0.020465,           0.0074655,           0.0074655
