               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11764,            0.030066,            0.032471,           0.0016507,             0.51648,           0.0027334,            0.001017,              0.1116,            0.022581,            0.033913,              0.0928,              0.0008,              0.0008
                   1,             0.10487,            0.031638,            0.030996,           0.0024362,             0.74176,           0.0099242,           0.0017913,            0.098632,             0.02187,             0.02825,            0.084694,           0.0016944,           0.0016944
                   2,            0.094133,             0.02828,             0.02887,           0.0026363,             0.81319,            0.020261,           0.0059703,            0.082112,            0.020322,            0.028439,            0.076583,           0.0025828,           0.0025828
                   3,            0.080457,            0.028705,            0.029206,           0.0031109,             0.96154,            0.060865,            0.017557,            0.074219,             0.01762,            0.026303,            0.068465,           0.0034654,           0.0034654
                   4,            0.073711,             0.02861,            0.026053,            0.032005,             0.55495,            0.095892,             0.04393,            0.068608,            0.016893,            0.025319,            0.060342,           0.0043419,           0.0043419
                   5,            0.070957,            0.025835,             0.02553,            0.003589,                   1,             0.21914,             0.06456,            0.068709,             0.01506,             0.02166,            0.052213,           0.0052126,           0.0052126
                   6,            0.074779,            0.027091,            0.025516,            0.048855,             0.10989,            0.094483,            0.039625,            0.069448,            0.013051,            0.017698,            0.044077,           0.0060772,           0.0060772
                   7,            0.074964,            0.022449,            0.024346,             0.23771,             0.14286,             0.16817,            0.055748,            0.067977,            0.010953,            0.016299,            0.035936,            0.006936,            0.006936
                   8,            0.072118,            0.021748,            0.022904,            0.078633,             0.18681,             0.13485,             0.06716,            0.068597,            0.011319,            0.017221,            0.027789,           0.0077888,           0.0077888
                   9,            0.071597,            0.021059,            0.023879,            0.017041,             0.63736,              0.1134,            0.039511,            0.063879,            0.010292,            0.017356,            0.019636,           0.0086357,           0.0086357
                  10,            0.067627,            0.018554,            0.022136,              0.1708,            0.038462,             0.10895,            0.058666,            0.071738,           0.0087186,            0.016602,            0.011477,           0.0094766,           0.0094766
                  11,            0.079066,            0.018536,            0.022747,              0.1985,              0.2967,             0.13314,            0.049682,            0.067968,           0.0087949,            0.017076,            0.009637,            0.009637,            0.009637
                  12,            0.065362,            0.019967,            0.019579,            0.055948,             0.45055,             0.14581,            0.041153,            0.067014,           0.0090089,            0.016756,            0.009637,            0.009637,            0.009637
                  13,            0.063415,            0.019936,             0.02076,            0.095474,             0.52747,             0.14339,            0.042746,            0.066736,           0.0090998,            0.013805,            0.009604,            0.009604,            0.009604
                  14,            0.063678,            0.021315,            0.022014,             0.17472,             0.37912,             0.25098,            0.077077,            0.066006,           0.0098898,              0.0113,            0.009571,            0.009571,            0.009571
                  15,            0.058063,            0.020493,            0.024344,             0.25681,             0.22527,             0.20071,            0.068856,            0.069195,           0.0097549,            0.011787,            0.009538,            0.009538,            0.009538
                  16,            0.055092,            0.019916,            0.019295,             0.18486,             0.26374,             0.20278,            0.062439,            0.071477,           0.0096492,            0.012748,            0.009505,            0.009505,            0.009505
                  17,            0.059058,            0.018959,            0.016827,             0.62527,             0.19231,             0.27121,            0.065515,            0.071983,           0.0097469,             0.01323,            0.009472,            0.009472,            0.009472
                  18,            0.060438,            0.021166,            0.019606,             0.13768,             0.34615,             0.19559,            0.068138,            0.063927,           0.0092256,            0.014555,            0.009439,            0.009439,            0.009439
                  19,            0.058429,            0.018025,            0.017479,             0.19326,             0.15385,             0.14065,            0.047928,            0.062425,           0.0088488,             0.01546,            0.009406,            0.009406,            0.009406
                  20,            0.068225,            0.017505,            0.019375,             0.16319,             0.23077,             0.15126,            0.053257,             0.05677,           0.0096013,              0.0147,            0.009373,            0.009373,            0.009373
                  21,            0.063496,            0.018267,            0.021001,             0.18173,             0.37912,             0.21472,             0.04874,            0.057052,           0.0092449,            0.014984,             0.00934,             0.00934,             0.00934
                  22,            0.054711,            0.016682,            0.017607,             0.32387,             0.34066,              0.2557,            0.065265,            0.051775,           0.0097245,            0.014627,            0.009307,            0.009307,            0.009307
