               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094079,             0.02834,            0.027523,           0.0033822,             0.98039,             0.12335,            0.037817,            0.060481,            0.016208,            0.019916,            0.070682,           0.0032576,           0.0032576
                   1,            0.073223,             0.02199,            0.022077,             0.31542,             0.33113,             0.26422,            0.064858,            0.065502,           0.0087421,            0.011661,             0.04066,           0.0065692,           0.0065692
                   2,            0.068337,            0.017913,            0.017542,             0.42955,             0.35854,             0.31518,            0.073106,            0.062666,           0.0071743,           0.0073926,            0.010616,           0.0098587,           0.0098587
                   3,            0.063891,            0.016988,            0.013373,             0.43653,             0.32133,             0.37178,             0.10545,            0.058672,           0.0070172,           0.0098973,            0.009901,            0.009901,            0.009901
                   4,            0.058934,            0.016885,            0.011881,              0.3667,             0.32333,             0.31092,            0.096265,            0.052223,            0.008161,            0.011084,            0.009901,            0.009901,            0.009901
                   5,              0.0574,            0.017491,            0.012279,             0.37034,             0.16185,             0.19328,            0.060345,            0.057333,           0.0098324,            0.012732,            0.009868,            0.009868,            0.009868
                   6,            0.053999,            0.017699,             0.01312,             0.44145,              0.4328,             0.38714,             0.15404,            0.046747,           0.0077962,           0.0041313,            0.009835,            0.009835,            0.009835
                   7,            0.052676,            0.017338,            0.012051,             0.52147,             0.61124,             0.52932,             0.17395,            0.047215,            0.007175,           0.0046554,            0.009802,            0.009802,            0.009802
                   8,            0.048525,            0.016213,           0.0097619,             0.41722,             0.61084,             0.51894,              0.2004,            0.037568,             0.00763,           0.0066992,            0.009769,            0.009769,            0.009769
                   9,             0.04624,            0.016115,           0.0089339,             0.56566,             0.46218,             0.54824,             0.24206,            0.038175,           0.0070109,           0.0037219,            0.009736,            0.009736,            0.009736
                  10,            0.047077,            0.016328,            0.011442,             0.56919,             0.57122,             0.55396,             0.24488,            0.041939,           0.0065594,           0.0070057,            0.009703,            0.009703,            0.009703
                  11,            0.048647,            0.016745,           0.0092043,             0.74356,             0.62425,             0.74629,             0.35391,            0.040414,           0.0067712,           0.0042101,             0.00967,             0.00967,             0.00967
